El Salvador,https://covid19.gob.sv/,6827005
Hungary,https://koronavirus.gov.hu//cikkek/6-millio-421-ezer-beoltott-4-397-az-uj-fertozott-es-elhunyt-56-beteg,6809350
Jordan,https://data.who.int/dashboards/covid19/,6617461
Serbia,https://vakcinacija.gov.rs/,6089871
Croatia,https://www.koronavirus.hr,5274145
Zimbabwe,https://www.arcgis.com/home/webmap/viewer.html?url=https://services9.arcgis.com/DnERH4rcjw7NU6lv/ArcGIS/rest/services/Vaccine_Distribution_Program/FeatureServer&source=sd,4592447
Qatar,https://data.who.int/dashboards/covid19/,4561509
Bulgaria,https://coronavirus.bg/bg/statistika,4530262
Lithuania,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/,4499191
Syria,https://data.who.int/dashboards/covid19/,4494350
Mongolia,https://ikon.mn/,4356196
Liberia,https://data.who.int/dashboards/covid19/,4061384
Sweden,https://www.fohm.se/folkhalsorapportering-statistik/statistikdatabaser-och-visualisering/vaccinationsstatistik/statistik-for-vaccination-mot-covid-19/,4051876
Nigeria,https://data.who.int/dashboards/covid19/,3967013
Northern Ireland,https://coronavirus.data.gov.uk/details/vaccinations,3965566
Costa Rica,https://data.who.int/dashboards/covid19/,3643509
Bahrain,https://data.who.int/dashboards/covid19/,3468666
Kyrgyzstan,https://vc.emed.gov.kg/,3221949
Madagascar,https://data.who.int/dashboards/covid19/,2853869
Ethiopia,https://data.who.int/dashboards/covid19/,2750241
Oman,https://data.who.int/dashboards/covid19/,2656658
Lebanon,https://data.who.int/dashboards/covid19/,2584540
Tunisia,https://data.who.int/dashboards/covid19/,2115739
Estonia,https://opendata.digilugu.ee,2113281
Slovakia,https://github.com/Institut-Zdravotnych-Analyz/covid19-data/raw/main/Vaccination/OpenData_Slovakia_Vaccination_AgeGroup_District.csv,2067000
Slovenia,https://covid-19.sledilnik.org/sl/stats,1904627
Kenya,https://data.who.int/dashboards/covid19/,1804375
Timor,https://data.who.int/dashboards/covid19/,1766617
Senegal,https://data.who.int/dashboards/covid19/,1744098
Angola,https://data.who.int/dashboards/covid19/,1695588
Palestine,https://covid19.who.int/,1673806
Laos,https://www.covid19.gov.la/index.php,1648060
Mauritius,https://data.who.int/dashboards/covid19/,1591414
Trinidad and Tobago,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,1580262
Albania,https://data.who.int/dashboards/covid19/,1579402
Latvia,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,1521241
Macao,https://www.ssm.gov.mo/apps1/COVID19Case/en.aspx,1462129
Mozambique,https://data.who.int/dashboards/covid19/,1386326
Luxembourg,https://covid19.who.int/,1343630
Malta,https://github.com/COVID19-Malta/COVID19-Cases,1334629
Guinea,https://data.who.int/dashboards/covid19/,1333682
Libya,https://data.who.int/dashboards/covid19/,1274076
Brunei,https://data.who.int/dashboards/covid19/,1273212
Cote d'Ivoire,https://covid19.who.int/,1147868
Cyprus,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5,1117393
Bosnia and Herzegovina,https://data.who.int/dashboards/covid19/,1060145
Bhutan,https://data.who.int/dashboards/covid19/,1010129
North Macedonia,https://data.who.int/dashboards/covid19/,982645
Kosovo,https://msh.rks-gov.net/sq/statistikat-covid-19/,975279
Sudan,https://data.who.int/dashboards/covid19/,823881
Moldova,https://data.who.int/dashboards/covid19/,784671
Maldives,https://data.who.int/dashboards/covid19/,702063
Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,690888
Ghana,https://data.who.int/dashboards/covid19/,681211
Georgia,https://vaccines.ncdc.ge/vaccinationprocess/,664997
Rwanda,https://data.who.int/dashboards/covid19/,645674
Papua New Guinea,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,644840
Jamaica,https://vaccination.moh.gov.jm,606286
Botswana,https://data.who.int/dashboards/covid19/,573691
Iceland,https://www.covid.is/tolulegar-upplysingar-boluefni,533024
Guyana,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,502064
Belize,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,498803
Zambia,https://data.who.int/dashboards/covid19/,496594
Niger,https://data.who.int/dashboards/covid19/,425483
Montenegro,https://www.covidodgovor.me/,410238
Equatorial Guinea,https://data.who.int/dashboards/covid19/,410064
Uganda,https://data.who.int/dashboards/covid19/,404972
Tajikistan,https://data.who.int/dashboards/covid19/,380940
Cameroon,https://data.who.int/dashboards/covid19/,368280
Malawi,https://data.who.int/dashboards/covid19/,367356
Suriname,https://laatjevaccineren.sr/,361815
Bahamas,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,358197
Namibia,https://data.who.int/dashboards/covid19/,352962
Comoros,https://data.who.int/dashboards/covid19/,334369
Barbados,https://data.who.int/dashboards/covid19/,317916
Congo,https://data.who.int/dashboards/covid19/,309575
Mauritania,https://data.who.int/dashboards/covid19/,306666
Vanuatu,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,287803
Mali,https://data.who.int/dashboards/covid19/,259719
Curacao,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,255575
Cape Verde,https://data.who.int/dashboards/covid19/,204780
French Polynesia,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,174127
Benin,https://data.who.int/dashboards/covid19/,174074
Aruba,https://www.government.aw,173244
Andorra,https://data.who.int/dashboards/covid19/,157038
Cayman Islands,https://data.who.int/dashboards/covid19/,151970
South Sudan,https://data.who.int/dashboards/covid19/,151245
Seychelles,https://data.who.int/dashboards/covid19/,143490
Somalia,https://data.who.int/dashboards/covid19/,143379
Eswatini,https://data.who.int/dashboards/covid19/,136164
Sao Tome and Principe,https://data.who.int/dashboards/covid19/,134615
