Country Name (CN),Observation Months 1 (OM1),Administered Vaccine on OM1 (VOM1),Observation Months 2 (OM2),Administered Vaccine on OM2 (VOM2),Difference of totals (VOM1-VOM2)
Maldives,04/2022,1878782,05/2022,942138,-936644
Mali,04/2022,,05/2022,3987930,
Malta,04/2022,11324922,05/2022,11509375,184453
Mauritania,04/2022,2118211,05/2022,,
Mauritius,04/2022,,05/2022,,
Mexico,04/2022,,05/2022,201861103,
Moldova,04/2022,6394605,05/2022,2148116,-4246489
Mongolia,04/2022,21923073,05/2022,5490832,-16432241
Montenegro,04/2022,4685226,05/2022,6049239,1364013
Montserrat,04/2022,8450,05/2022,4255,-4195
Morocco,04/2022,54308312,05/2022,108926814,54618502
Mozambique,04/2022,,05/2022,,
Myanmar,04/2022,152182546,05/2022,169549329,17366783
Namibia,04/2022,,05/2022,,
Nauru,04/2022,,05/2022,,
Nepal,04/2022,241995351,05/2022,378910980,136915629
Netherlands,04/2022,67354442,05/2022,34463555,-32890887
New Caledonia,04/2022,458728,05/2022,919906,461178
New Zealand,04/2022,98842138,05/2022,99473908,631770
Nicaragua,04/2022,10003541,05/2022,10404774,401233
Niger,04/2022,2689995,05/2022,2692524,2529
Nigeria,04/2022,33932163,05/2022,79490421,45558258
Niue,04/2022,,05/2022,,
North America,04/2022,8719023149,05/2022,8957717590,238694441
North Macedonia,04/2022,1841819,05/2022,,
Northern Cyprus,04/2022,,05/2022,,
Northern Ireland,04/2022,33861734,05/2022,34490861,629127
Norway,04/2022,101856432,05/2022,102080037,223605
Oceania,04/2022,644806260,05/2022,660538403,15732143
Oman,04/2022,7023686,05/2022,,
Pakistan,04/2022,,05/2022,492731547,
Palestine,04/2022,3707619,05/2022,3720221,12602
Panama,04/2022,15918701,05/2022,8079415,-7839286
Papua New Guinea,04/2022,,05/2022,,
Paraguay,04/2022,8472594,05/2022,,
Peru,04/2022,623146717,05/2022,659271251,36124534
Philippines,04/2022,430087684,05/2022,146869397,-283218287
Pitcairn,04/2022,,05/2022,,
Poland,04/2022,324025782,05/2022,488728239,164702457
Portugal,04/2022,47842840,05/2022,24046871,-23795969
